//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
433    |DCJL|D48A,SDZA    |D48     |72,(66-70),(62-64),44-46,(40-42),44-46,(34),18-20,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG                     |D46,D40,D34,D28;
434    |DCJL|D48A,SJDA    |D48     |72,(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),6-8                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG                     |D46,D40,D34,D28;
435    |DCJL|D48A,D72A    |D48     |72,66-70,86,84,82,(78)                     |68-76DG,84-86DG,82DG,78DG                     |D54;
436    |DCJL|D48A,D74A    |D48     |72,66-70,86,84,82,78                     |68-76DG,84-86DG,82DG,78DG                     |D54;
437    |DCJL|D48A,D70A    |D48     |72,66-70,86,84,82                     |68-76DG,84-86DG,82DG                     |D54;
438    |DCJL|D48A,D68A    |D48     |72,66-70,86,84,(82)                     |68-76DG,84-86DG,82DG                     |D54;
439    |DCJL|D48A,D64A    |D48     |72,66-70,86,84                     |68-76DG,84-86DG                     |D54;
440    |DCJL|D48A,D36A    |D48     |72,(66-70),(62-64),44-46,40-42                     |68-76DG,66DG,64DG,62DG,42-44DG                     |D46,D40,D36;
441    |DCJL|D48A,D8A    |D48     |72,(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),(6-8)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D46,D40,D34,D28;
442    |DCJL|D48A,D28A    |D48     |72,(66-70),(62-64),44-46,(40-42),44-46,(34)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG                     |D46,D40,D34,D28;
443    |DCJL|XVIIDA,D10A    |XVII     |62-64,44-46,40-42,10-12,14-16                     |62DG,42-44DG,12DG,14DG                     |D40,D36;
444    |DCJL|XVIIDA,D12A    |XVII     |62-64,44-46,40-42,(10-12)                     |62DG,42-44DG,12DG,10DG,14DG                     |D40,D36;
445    |DCJL|XVIIDA,D2A    |XVII     |62-64,44-46,40-42,(10-12),2-4                     |62DG,42-44DG,12DG,10DG,14DG,2DG                     |D40,D36;
446    |DCJL|XVIIDA,SFDZA    |XVII     |62-64,44-46,40-42,10-12,14-16,2-4                     |62DG,42-44DG,12DG,14DG,4DG                     |D40,D36;
447    |DCJL|XVIIDA,SDZA    |XVII     |62-64,44-46,(40-42),44-46,(34),18-20,14-16                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG                     |D40,D34,D28;
448    |DCJL|XVIIDA,SJDA    |XVII     |62-64,44-46,(40-42),44-46,(34),(18-20),6-8                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG                     |D40,D34,D28;
449    |DCJL|XVIIDA,D36A    |XVII     |62-64,44-46,40-42                     |62DG,42-44DG                     |D40,D36;
450    |DCJL|XVIIDA,D8A    |XVII     |62-64,44-46,(40-42),44-46,(34),(18-20),(6-8)                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D40,D34,D28;
451    |DCJL|XVIIDA,D28A    |XVII     |62-64,44-46,(40-42),44-46,(34)                     |62DG,42-44DG,40-46DG,34-36DG                     |D40,D34,D28;
452    |DCJL|X6DA,D10A    |X6     |52,40-42,44-46,(34),18-20,(14-16)                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG,14DG,12DG                     |D42,D34,D28;
453    |DCJL|X6DA,D12A    |X6     |52,40-42,(44-46),40-42,(10-12)                     |52DG,40-46DG,42-44DG,54-60DG,12DG,10DG,14DG                     |D42,D36;
454    |DCJL|X6DA,D2A    |X6     |52,40-42,(44-46),40-42,(10-12),2-4                     |52DG,40-46DG,42-44DG,54-60DG,12DG,10DG,14DG,2DG                     |D42,D36;
455    |DCJL|X6DA,SFDZA    |X6     |52,40-42,(44-46),40-42,10-12,14-16,2-4                     |52DG,40-46DG,42-44DG,54-60DG,12DG,14DG,4DG                     |D42,D36;
456    |DCJL|X6DA,SDZA    |X6     |52,40-42,44-46,(34),18-20,14-16                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG                     |D42,D34,D28;
457    |DCJL|X6DA,SJDA    |X6     |52,40-42,44-46,(34),(18-20),6-8                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG,18DG,8DG,26DG                     |D42,D34,D28;
458    |DCJL|X6DA,D36A    |X6     |52,40-42,(44-46),40-42                     |52DG,40-46DG,42-44DG,54-60DG                     |D42,D36;
459    |DCJL|X6DA,D8A    |X6     |52,40-42,44-46,(34),(18-20),(6-8)                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG,18DG,8DG,6DG,26DG                     |D42,D34,D28;
460    |DCJL|X6DA,D28A    |X6     |52,40-42,44-46,(34)                     |52DG,40-46DG,34-36DG,54-60DG                     |D42,D34,D28;
461    |DCJL|X5DA,D10A    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16)                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,12DG                     |D42,D34,D28;
462    |DCJL|X5DA,D12A    |X5     |54-56,58-60,(52),40-42,(44-46),40-42,(10-12)                     |54-60DG,52DG,40-46DG,42-44DG,12DG,10DG,14DG                     |D42,D36;
463    |DCJL|X5DA,D2A    |X5     |54-56,58-60,(52),40-42,(44-46),40-42,(10-12),2-4                     |54-60DG,52DG,40-46DG,42-44DG,12DG,10DG,14DG,2DG                     |D42,D36;
464    |DCJL|X5DA,SFDZA    |X5     |54-56,58-60,(52),40-42,(44-46),40-42,10-12,14-16,2-4                     |54-60DG,52DG,40-46DG,42-44DG,12DG,14DG,4DG                     |D42,D36;
465    |DCJL|X5DA,SDZA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,14-16                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG                     |BA,D28;
466    |DCJL|X5DA,SJDA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,(18-20),6-8                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,18DG,8DG,26DG                     |BA,D28;
467    |DCJL|X5DA,D36A    |X5     |54-56,58-60,(52),40-42,(44-46),40-42                     |54-60DG,52DG,40-46DG,42-44DG                     |D42,D36;
468    |DCJL|X5DA,D8A    |X5     |54-56,58-60,(52),40-42,44-46,(34),(18-20),(6-8)                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D42,D34,D28;
469    |DCJL|X5DA,D28A    |X5     |54-56,(58-60),54-56,50,(48),36-38,34                     |54-60DG,56-58DG,48-50DG,34-36DG                     |BA,D28;
470    |DCJL|X4DA,D10A    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16)                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,12DG                     |BA,D28;
471    |DCJL|X4DA,D12A    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42,(10-12)                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG,12DG,10DG,14DG                     |D42,D36;
472    |DCJL|X4DA,D2A    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42,(10-12),2-4                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG,12DG,10DG,14DG,2DG                     |D42,D36;
473    |DCJL|X4DA,SFDZA    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42,10-12,14-16,2-4                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG,12DG,14DG,4DG                     |D42,D36;
474    |DCJL|X4DA,SDZA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,14-16                     |56-58DG,48-50DG,34-36DG,16-20DG                     |BA,D28;
475    |DCJL|X4DA,SJDA    |X4     |58-60,54-56,50,(48),36-38,34,(18-20),6-8                     |56-58DG,48-50DG,34-36DG,16-20DG,18DG,8DG,26DG                     |BA,D28;
476    |DCJL|X4DA,D36A    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG                     |D42,D36;
477    |DCJL|X4DA,D8A    |X4     |58-60,54-56,50,(48),36-38,34,(18-20),(6-8)                     |56-58DG,48-50DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |BA,D28;
478    |DCJL|X4DA,D28A    |X4     |58-60,54-56,50,(48),36-38,34                     |56-58DG,48-50DG,34-36DG                     |BA,D28;
479    |DCJL|X3DA,D10A    |X3     |(50),(48),36-38,34,18-20,(14-16)                     |48-50DG,34-36DG,56-58DG,16-20DG,14DG,12DG                     |BA,D28;
480    |DCJL|X3DA,D2A    |X3     |(50),(48),36-38,34,18-20,(14-16),(2-4)                     |48-50DG,34-36DG,56-58DG,16-20DG,14DG,12DG,4DG,2DG                     |BA,D28;
481    |DCJL|X3DA,SFDZA    |X3     |(50),(48),36-38,34,18-20,(14-16),2-4                     |48-50DG,34-36DG,56-58DG,16-20DG,14DG,12DG,4DG                     |BA,D28;
482    |DCJL|X3DA,SDZA    |X3     |(50),(48),36-38,34,18-20,14-16                     |48-50DG,34-36DG,56-58DG,16-20DG                     |BA,D28;
483    |DCJL|X3DA,SJDA    |X3     |(50),(48),36-38,34,(18-20),6-8                     |48-50DG,34-36DG,56-58DG,16-20DG,18DG,8DG,26DG                     |BA,D28;
484    |DCJL|X3DA,D8A    |X3     |(50),(48),36-38,34,(18-20),(6-8)                     |48-50DG,34-36DG,56-58DG,16-20DG,18DG,8DG,6DG,26DG                     |BA,D28;
485    |DCJL|X3DA,D28A    |X3     |(50),(48),36-38,34                     |48-50DG,34-36DG,56-58DG                     |BA,D28;
486    |DCJL|XIIDA,D10A    |XII     |48,36-38,34,18-20,(14-16)                     |48-50DG,34-36DG,16-20DG,14DG,12DG                     |BA,D28;
487    |DCJL|XIIDA,D2A    |XII     |48,36-38,34,18-20,(14-16),(2-4)                     |48-50DG,34-36DG,16-20DG,14DG,12DG,4DG,2DG                     |BA,D28;
488    |DCJL|XIIDA,SFDZA    |XII     |48,36-38,34,18-20,(14-16),2-4                     |48-50DG,34-36DG,16-20DG,14DG,12DG,4DG                     |BA,D28;
489    |DCJL|XIIDA,SDZA    |XII     |48,36-38,34,18-20,14-16                     |48-50DG,34-36DG,16-20DG                     |BA,D28;
490    |DCJL|XIIDA,SJDA    |XII     |48,36-38,34,(18-20),6-8                     |48-50DG,34-36DG,16-20DG,18DG,8DG,26DG                     |BA,D28;
491    |DCJL|XIIDA,D8A    |XII     |48,36-38,34,(18-20),(6-8)                     |48-50DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |BA,D28;
492    |DCJL|XIIDA,D28A    |XII     |48,36-38,34                     |48-50DG,34-36DG                     |BA,D28;
493    |DCJL|XIDA,D32A    |XI     |36-38                     |38DG                     |D32;
494    |DCJL|XIDA,D20A    |XI     |36-38,(22-26),(30)                     |38DG,26DG,22-30DG,18DG,32DG                     |D32;
495    |DCJL|XIDA,D10A    |XI     |(36-38),34,18-20,(14-16)                     |38DG,34-36DG,48-50DG,16-20DG,14DG,12DG                     |D28;
496    |DCJL|XIDA,D2A    |XI     |(36-38),34,18-20,(14-16),(2-4)                     |38DG,34-36DG,48-50DG,16-20DG,14DG,12DG,4DG,2DG                     |D28;
497    |DCJL|XIDA,SFDZA    |XI     |(36-38),34,18-20,(14-16),2-4                     |38DG,34-36DG,48-50DG,16-20DG,14DG,12DG,4DG                     |D28;
498    |DCJL|XIDA,SDZA    |XI     |(36-38),34,18-20,14-16                     |38DG,34-36DG,48-50DG,16-20DG                     |D28;
499    |DCJL|XIDA,SJDA    |XI     |36-38,22-26,18-20,6-8                     |38DG,26DG,18DG,8DG                     |D32;
500    |DCJL|XIDA,D8A    |XI     |36-38,22-26,18-20,(6-8)                     |38DG,26DG,18DG,8DG,6DG                     |D32;
501    |DCJL|XIDA,D28A    |XI     |(36-38),34                     |38DG,34-36DG,48-50DG                     |D28;
502    |DCJL|D46A,D50A    |D46     |(66-70),(72),(76)                     |66DG,68-76DG                     |D50;
503    |DCJL|D46A,D52A    |D46     |(66-70),(72),76                     |66DG,68-76DG                     |D52;
504    |DCJL|D46A,D48A    |D46     |(66-70),72                     |66DG,68-76DG                     |D48;
505    |DCJL|D46A,XVIIIDA    |D46     |66-70                     |66DG                     |XVIII;
506    |DCJL|D54A,D50A    |D54     |66-70,(72),(76)                     |68-76DG                     |D50;
507    |DCJL|D54A,D52A    |D54     |66-70,(72),76                     |68-76DG                     |D52;
508    |DCJL|D54A,D48A    |D54     |66-70,72                     |68-76DG                     |D48;
509    |DCJL|D44A,D50A    |D44     |62-64,(66-70),(72),(76)                     |64DG,66DG,68-76DG                     |D46;
510    |DCJL|D44A,D52A    |D44     |62-64,(66-70),(72),76                     |64DG,66DG,68-76DG                     |D46;
511    |DCJL|D44A,D48A    |D44     |62-64,(66-70),72                     |64DG,66DG,68-76DG                     |D46;
512    |DCJL|D44A,D46A    |D44     |62-64                     |64DG                     |D46;
513    |DCJL|D44A,XVIIIDA    |D44     |62-64,66-70                     |64DG,66DG                     |D46;
514    |DCJL|D40A,D50A    |D40     |(62-64),(66-70),(72),(76)                     |62DG,64DG,66DG,68-76DG                     |D46;
515    |DCJL|D40A,D52A    |D40     |(62-64),(66-70),(72),76                     |62DG,64DG,66DG,68-76DG                     |D46;
516    |DCJL|D40A,D48A    |D40     |(62-64),(66-70),72                     |62DG,64DG,66DG,68-76DG                     |D46;
517    |DCJL|D40A,XVIIDA    |D40     |62-64                     |62DG                     |XVII;
518    |DCJL|D40A,D46A    |D40     |(62-64)                     |62DG,64DG                     |D46;
519    |DCJL|D40A,XVIIIDA    |D40     |(62-64),66-70                     |62DG,64DG,66DG                     |D46;
520    |DCJL|D42A,X6DA    |D42     |52                     |52DG,54-60DG                     |X6;
521    |DCJL|D42A,X5DA    |D42     |(52),58-60,54-56                     |52DG,54-60DG                     |X5;
522    |DCJL|D42A,X4DA    |D42     |(52),58-60,(54-56),58-60                     |52DG,54-60DG,56-58DG                     |X4;
523    |DCJL|D32A,XIDA    |D32     |36-38                     |38DG                     |XI;
524    |DCJL|D58A,D72A    |D58     |86,84,82,(78)                     |84-86DG,82DG,78DG                     |D64;
525    |DCJL|D58A,D74A    |D58     |86,84,82,78                     |84-86DG,82DG,78DG                     |D64;
526    |DCJL|D58A,D70A    |D58     |86,84,82                     |84-86DG,82DG                     |D64;
527    |DCJL|D58A,D68A    |D58     |86,84,(82)                     |84-86DG,82DG                     |D64;
528    |DCJL|D58A,D64A    |D58     |86,84                     |84-86DG                     |D64;
529    |DCJL|D56A,D72A    |D56     |(86),84,82,(78)                     |84-86DG,82DG,78DG                     |D64;
530    |DCJL|D56A,D74A    |D56     |(86),84,82,78                     |84-86DG,82DG,78DG                     |D64;
531    |DCJL|D56A,D70A    |D56     |(86),84,82                     |84-86DG,82DG                     |D64;
532    |DCJL|D56A,D68A    |D56     |(86),84,(82)                     |84-86DG,82DG                     |D64;
533    |DCJL|D56A,D64A    |D56     |(86),84                     |84-86DG                     |D64;
534    |DCJL|D60A,D72A    |D60     |(84),82,(78)                     |84-86DG,82DG,78DG                     |D64;
535    |DCJL|D60A,D74A    |D60     |(84),82,78                     |84-86DG,82DG,78DG                     |D64;
536    |DCJL|D60A,D70A    |D60     |(84),82                     |84-86DG,82DG                     |D64;
537    |DCJL|D60A,D68A    |D60     |(84),(82)                     |84-86DG,82DG                     |D64;
538    |DCJL|D60A,D64A    |D60     |(84)                     |84-86DG                     |D64;
539    |DCJL|D62A,D72A    |D62     |82,(78)                     |82DG,78DG                     |D70;
540    |DCJL|D62A,D74A    |D62     |82,78                     |82DG,78DG                     |D70;
541    |DCJL|D62A,D70A    |D62     |82                     |82DG                     |D70;
542    |DCJL|D62A,D68A    |D62     |(82)                     |82DG                     |D68;
543    |DCJL|D16A,D12A    |D16     |10-12                     |10DG                     |D12;
544    |DCJL|D16A,D2A    |D16     |10-12,2-4                     |10DG,2DG                     |D12;
545    |DCJL|D22A,D10A    |D22     |10-12,14-16                     |12DG,14DG                     |D10;
546    |DCJL|D22A,D12A    |D22     |(10-12)                     |12DG,10DG,14DG                     |D12;
547    |DCJL|D22A,D2A    |D22     |10-12,14-16,(2-4)                     |12DG,14DG,4DG,2DG                     |D10;
548    |DCJL|D22A,SFDZA    |D22     |10-12,14-16,2-4                     |12DG,14DG,4DG                     |D10;
549    |DCJL|D30A,D10A    |D30     |18-20,(14-16)                     |16-20DG,14DG,12DG                     |D10;
550    |DCJL|D30A,D2A    |D30     |18-20,(14-16),(2-4)                     |16-20DG,14DG,12DG,4DG,2DG                     |D10;
551    |DCJL|D30A,SFDZA    |D30     |18-20,(14-16),2-4                     |16-20DG,14DG,12DG,4DG                     |D10;
552    |DCJL|D30A,SDZA    |D30     |18-20,14-16                     |16-20DG                     |S;
553    |DCJL|D30A,SJDA    |D30     |(18-20),6-8                     |16-20DG,18DG,8DG,26DG                     |D14,SJ;
554    |DCJL|D30A,D8A    |D30     |(18-20),(6-8)                     |16-20DG,18DG,8DG,6DG,26DG                     |D14,D8;
555    |DCJL|D26A,D20A    |D26     |(22-26),(30)                     |26DG,22-30DG,18DG,32DG                     |D20;
556    |DCJL|D26A,SJDA    |D26     |22-26,18-20,6-8                     |26DG,18DG,8DG                     |D14,SJ;
557    |DCJL|D26A,D8A    |D26     |(22-26),30,6-8                     |26DG,22-30DG,6DG,18DG,32DG                     |D18,D8;
558    |DCJL|D38A,D24A    |D38     |(32)                     |32DG,22-30DG                     |D24;
559    |DCJL|D38A,D20A    |D38     |32,22-26,(30)                     |32DG,22-30DG                     |D20;
560    |DCJL|D38A,D8A    |D38     |32,22-26,30,6-8                     |32DG,22-30DG,6DG                     |D18,D8;
561    |DCJL|D24A,D38A    |D24     |(32)                     |32DG,22-30DG                     |D38;
562    |DCJL|D20A,XIDA    |D20     |(30),(22-26),36-38                     |22-30DG,26DG,32DG,18DG,38DG                     |D26;
563    |DCJL|D20A,D26A    |D20     |(30),(22-26)                     |22-30DG,26DG,32DG,18DG                     |D26;
564    |DCJL|D20A,D38A    |D20     |(30),22-26,32                     |22-30DG,32DG                     |D38;
565    |DCJL|D18A,XIDA    |D18     |30,(22-26),36-38                     |22-30DG,26DG,32DG,18DG,38DG                     |D26;
566    |DCJL|D18A,D26A    |D18     |30,(22-26)                     |22-30DG,26DG,32DG,18DG                     |D26;
567    |DCJL|D18A,D38A    |D18     |30,22-26,32                     |22-30DG,32DG                     |D38;
568    |DCJL|D14A,D50A    |D14     |(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),(72),(76)                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D30;
569    |DCJL|D14A,D52A    |D14     |(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),(72),76                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D30;
570    |DCJL|D14A,D48A    |D14     |(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),72                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D30;
571    |DCJL|D14A,XVIIDA    |D14     |(18-20),(34),44-46,(40-42),44-46,62-64                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG                     |D30;
572    |DCJL|D14A,X6DA    |D14     |(18-20),(34),44-46,40-42,52                     |18DG,16-20DG,26DG,34-36DG,40-46DG,52DG,54-60DG                     |D30;
573    |DCJL|D14A,X5DA    |D14     |(18-20),34,36-38,(48),50,54-56,(58-60),54-56                     |18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG,54-60DG                     |D30;
574    |DCJL|D14A,X4DA    |D14     |(18-20),34,36-38,(48),50,54-56,58-60                     |18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG                     |D30;
575    |DCJL|D14A,X3DA    |D14     |(18-20),34,36-38,(48),(50)                     |18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG                     |D30;
576    |DCJL|D14A,XIIDA    |D14     |(18-20),34,36-38,48                     |18DG,16-20DG,26DG,34-36DG,48-50DG                     |D30;
577    |DCJL|D14A,XIDA    |D14     |18-20,22-26,36-38                     |18DG,26DG,38DG                     |D26;
578    |DCJL|D14A,D46A    |D14     |(18-20),(34),44-46,(40-42),44-46,(62-64)                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG                     |D30;
579    |DCJL|D14A,D40A    |D14     |(18-20),(34),44-46,(40-42),44-46                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG                     |D30;
580    |DCJL|D14A,D42A    |D14     |(18-20),(34),44-46,40-42                     |18DG,16-20DG,26DG,34-36DG,40-46DG                     |D30;
581    |DCJL|D14A,D30A    |D14     |(18-20)                     |18DG,16-20DG,26DG                     |D30;
582    |DCJL|D14A,D26A    |D14     |18-20,22-26                     |18DG,26DG                     |D26;
583    |DCJL|D14A,D34A    |D14     |(18-20),(34)                     |18DG,16-20DG,26DG,34-36DG                     |D30;
584    |DCJL|D14A,XVIIIDA    |D14     |(18-20),(34),44-46,(40-42),44-46,(62-64),66-70                     |18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG                     |D30;
585    |DCJL|D10A,D50A    |D10     |14-16,10-12,40-42,44-46,(62-64),(66-70),(72),(76)                     |14DG,12DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D22;
586    |DCJL|D10A,D52A    |D10     |14-16,10-12,40-42,44-46,(62-64),(66-70),(72),76                     |14DG,12DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D22;
587    |DCJL|D10A,D48A    |D10     |14-16,10-12,40-42,44-46,(62-64),(66-70),72                     |14DG,12DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D22;
588    |DCJL|D10A,XVIIDA    |D10     |14-16,10-12,40-42,44-46,62-64                     |14DG,12DG,42-44DG,62DG                     |D22;
589    |DCJL|D10A,X6DA    |D10     |14-16,10-12,40-42,(44-46),40-42,52                     |14DG,12DG,42-44DG,40-46DG,52DG,54-60DG                     |D22;
590    |DCJL|D10A,X5DA    |D10     |14-16,10-12,40-42,(44-46),40-42,(52),58-60,54-56                     |14DG,12DG,42-44DG,40-46DG,52DG,54-60DG                     |D22;
591    |DCJL|D10A,X4DA    |D10     |14-16,10-12,40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |14DG,12DG,42-44DG,40-46DG,52DG,54-60DG,56-58DG                     |D22;
592    |DCJL|D10A,X3DA    |D10     |(14-16),18-20,34,36-38,(48),(50)                     |14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG                     |D30;
593    |DCJL|D10A,XIIDA    |D10     |(14-16),18-20,34,36-38,48                     |14DG,16-20DG,12DG,34-36DG,48-50DG                     |D30;
594    |DCJL|D10A,XIDA    |D10     |(14-16),18-20,34,(36-38)                     |14DG,16-20DG,12DG,34-36DG,38DG,48-50DG                     |D30;
595    |DCJL|D10A,D46A    |D10     |14-16,10-12,40-42,44-46,(62-64)                     |14DG,12DG,42-44DG,62DG,64DG                     |D22;
596    |DCJL|D10A,D40A    |D10     |14-16,10-12,40-42,44-46                     |14DG,12DG,42-44DG                     |D22;
597    |DCJL|D10A,D42A    |D10     |14-16,10-12,40-42,(44-46),40-42                     |14DG,12DG,42-44DG,40-46DG                     |D22;
598    |DCJL|D10A,D22A    |D10     |14-16,10-12                     |14DG,12DG                     |D22;
599    |DCJL|D10A,D30A    |D10     |(14-16),18-20                     |14DG,16-20DG,12DG                     |D30;
600    |DCJL|D10A,D34A    |D10     |(14-16),18-20,(34)                     |14DG,16-20DG,12DG,34-36DG                     |D30;
601    |DCJL|D10A,XVIIIDA    |D10     |14-16,10-12,40-42,44-46,(62-64),66-70                     |14DG,12DG,42-44DG,62DG,64DG,66DG                     |D22;
602    |DCJL|D12A,D50A    |D12     |10-12,62-64,(66-70),(72),(76)                     |10DG,64DG,66DG,68-76DG                     |D16;
603    |DCJL|D12A,D52A    |D12     |10-12,62-64,(66-70),(72),76                     |10DG,64DG,66DG,68-76DG                     |D16;
604    |DCJL|D12A,D48A    |D12     |10-12,62-64,(66-70),72                     |10DG,64DG,66DG,68-76DG                     |D16;
605    |DCJL|D12A,XVIIDA    |D12     |(10-12),40-42,44-46,62-64                     |10DG,12DG,14DG,42-44DG,62DG                     |D22;
606    |DCJL|D12A,X6DA    |D12     |(10-12),40-42,(44-46),40-42,52                     |10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG                     |D22;
607    |DCJL|D12A,X5DA    |D12     |(10-12),40-42,(44-46),40-42,(52),58-60,54-56                     |10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG                     |D22;
608    |DCJL|D12A,X4DA    |D12     |(10-12),40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG,56-58DG                     |D22;
609    |DCJL|D12A,D46A    |D12     |10-12,62-64                     |10DG,64DG                     |D16;
610    |DCJL|D12A,D40A    |D12     |(10-12),40-42,44-46                     |10DG,12DG,14DG,42-44DG                     |D22;
611    |DCJL|D12A,D42A    |D12     |(10-12),40-42,(44-46),40-42                     |10DG,12DG,14DG,42-44DG,40-46DG                     |D22;
612    |DCJL|D12A,D16A    |D12     |10-12                     |10DG                     |D16;
613    |DCJL|D12A,D22A    |D12     |(10-12)                     |10DG,12DG,14DG                     |D22;
614    |DCJL|D12A,XVIIIDA    |D12     |10-12,62-64,66-70                     |10DG,64DG,66DG                     |D16;
615    |DCJL|D2A,D50A    |D2     |2-4,10-12,62-64,(66-70),(72),(76)                     |2DG,10DG,64DG,66DG,68-76DG                     |D4;
616    |DCJL|D2A,D52A    |D2     |2-4,10-12,62-64,(66-70),(72),76                     |2DG,10DG,64DG,66DG,68-76DG                     |D4;
617    |DCJL|D2A,D48A    |D2     |2-4,10-12,62-64,(66-70),72                     |2DG,10DG,64DG,66DG,68-76DG                     |D4;
618    |DCJL|D2A,XVIIDA    |D2     |2-4,(10-12),40-42,44-46,62-64                     |2DG,10DG,12DG,14DG,42-44DG,62DG                     |D4;
619    |DCJL|D2A,X6DA    |D2     |2-4,(10-12),40-42,(44-46),40-42,52                     |2DG,10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG                     |D4;
620    |DCJL|D2A,X5DA    |D2     |2-4,(10-12),40-42,(44-46),40-42,(52),58-60,54-56                     |2DG,10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG                     |D4;
621    |DCJL|D2A,X4DA    |D2     |2-4,(10-12),40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |2DG,10DG,12DG,14DG,42-44DG,40-46DG,52DG,54-60DG,56-58DG                     |D4;
622    |DCJL|D2A,X3DA    |D2     |(2-4),(14-16),18-20,34,36-38,(48),(50)                     |2DG,4DG,14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG                     |D6;
623    |DCJL|D2A,XIIDA    |D2     |(2-4),(14-16),18-20,34,36-38,48                     |2DG,4DG,14DG,16-20DG,12DG,34-36DG,48-50DG                     |D6;
624    |DCJL|D2A,XIDA    |D2     |(2-4),(14-16),18-20,34,(36-38)                     |2DG,4DG,14DG,16-20DG,12DG,34-36DG,38DG,48-50DG                     |D6;
625    |DCJL|D2A,D46A    |D2     |2-4,10-12,62-64                     |2DG,10DG,64DG                     |D4;
626    |DCJL|D2A,D40A    |D2     |2-4,(10-12),40-42,44-46                     |2DG,10DG,12DG,14DG,42-44DG                     |D4;
627    |DCJL|D2A,D42A    |D2     |2-4,(10-12),40-42,(44-46),40-42                     |2DG,10DG,12DG,14DG,42-44DG,40-46DG                     |D4;
