//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
70    |LCJL|S21LA,XNLA    |S21     |(57),55,51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
71    |LCJL|S21LA,D21A,XLA    |S21     |(57),55,51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
72    |LCJL|S19LA,XLA    |S19     |57,55,51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
73    |LCJL|S19LA,XNLA    |S19     |57,55,51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
74    |LCJL|S19LA,D21A,XLA    |S19     |57,55,51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
75    |LCJL|S17LA,XLA    |S17     |(55),51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
76    |LCJL|S17LA,XNLA    |S17     |(55),51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
77    |LCJL|S17LA,D21A,XLA    |S17     |(55),51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
78    |LCJL|S15LA,XLA    |S15     |(45),43,35-37,39-41,(23),11-13,5-7,1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D41,D39,D21,D1,X;
79    |LCJL|S15LA,XNLA    |S15     |(45),43,35-37,39-41,(23),(11-13),1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
80    |LCJL|S15LA,D13A,XLA    |S15     |(45),43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
81    |LCJL|S15LA,D23A,XLA    |S15     |(45),43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
82    |LCJL|S13LA,XLA    |S13     |(49),45,43,35-37,39-41,(23),11-13,5-7,1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D41,D39,D21,D1,X;
83    |LCJL|S13LA,XNLA    |S13     |(49),45,43,35-37,39-41,(23),(11-13),1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
//84    |LCJL|S13LA,D13A,XLA    |S13     |(49),45,43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
85    |LCJL|S13LA,D23A,XLA    |S13     |(49),45,43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
86    |LCJL|S11LA,XLA    |S11     |49,45,43,35-37,39-41,(23),11-13,5-7,1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D41,D39,D21,D1,X;
87    |LCJL|S11LA,XNLA    |S11     |49,45,43,35-37,39-41,(23),(11-13),1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
//88    |LCJL|S11LA,D13A,XLA    |S11     |49,45,43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
89    |LCJL|S11LA,D23A,XLA    |S11     |49,45,43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
90    |LCJL|S9LA,XLA    |S9     |(47),(43),35-37,39-41,(23),11-13,5-7,1-3                     |43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,45-49DG,X3JG                     |D41,D39,D21,D1,X;
91    |LCJL|S9LA,XNLA    |S9     |(47),(43),35-37,39-41,(23),(11-13),1-3                     |43-47DG,35-41DG,23DG,13DG,11DG,3DG,45-49DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
//92    |LCJL|S9LA,D13A,XLA    |S9     |(47),(43),35-37,(39-41),35-37,(5-7),1-3                     |43-47DG,35-41DG,37-39DG,45-49DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
93    |LCJL|S9LA,D23A,XLA    |S9     |(47),(43),35-37,(39-41),35-37,(5-7),1-3                     |43-47DG,35-41DG,37-39DG,45-49DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
94    |LCJL|S7LA,XLA    |S7     |47,(43),35-37,39-41,(23),11-13,5-7,1-3                     |43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,45-49DG,X3JG                     |D41,D39,D21,D1,X;
95    |LCJL|S7LA,XNLA    |S7     |47,(43),35-37,39-41,(23),(11-13),1-3                     |43-47DG,35-41DG,23DG,13DG,11DG,3DG,45-49DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
//96    |LCJL|S7LA,D13A,XLA    |S7     |47,(43),35-37,(39-41),35-37,(5-7),1-3                     |43-47DG,35-41DG,37-39DG,45-49DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
97    |LCJL|S7LA,D23A,XLA    |S7     |47,(43),35-37,(39-41),35-37,(5-7),1-3                     |43-47DG,35-41DG,37-39DG,45-49DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
98    |LCJL|S5LA,XLA    |S5     |(33),(27),23,11-13,5-7,1-3                     |33DG,27DG,23DG,13DG,1-5DG,IAG,35-41DG,X3JG                     |D43,D21,D1,X;
99    |LCJL|S5LA,XNLA    |S5     |(33),(27),23,(11-13),1-3                     |33DG,27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG,S1LQ                     |D43,D21,D7,XN;
100    |LCJL|S3LA,XLA    |S3     |33,(27),23,11-13,5-7,1-3                     |33DG,27DG,23DG,13DG,1-5DG,IAG,35-41DG,X3JG                     |D43,D21,D1,X;
101    |LCJL|S3LA,XNLA    |S3     |33,(27),23,(11-13),1-3                     |33DG,27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG,S1LQ                     |D43,D21,D7,XN;
102    |LCJL|SILA,XLA    |SI     |27,23,11-13,5-7,1-3                     |27DG,23DG,13DG,1-5DG,IAG,35-41DG,X3JG                     |D21,D1,X;
103    |LCJL|SILA,XNLA    |SI     |27,23,(11-13),1-3                     |27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG,S1LQ                     |D21,D7,XN;
104    |LCJL|SIILA,XLA    |SII     |17-19,11-13,(1-3)                     |17DG,11DG,3DG,1-5DG,IAG,X3JG                     |D15,D7,D1,X;
105    |LCJL|SIILA,XNLA    |SII     |17-19,11-13,1-3                     |17DG,11DG,3DG,S1LQ                     |D15,D7,XN;
106    |LCJL|S4LA,XLA    |S4     |29,(17-19),11-13,(1-3)                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,1-5DG,IAG,21DG,X3JG                     |D29,D27,D15,D7,D1,X;
